MAF	n100	n200	n300	n400	n500	n1000	n2000	n3000	n4000	n5000	n6000	n7000
0.34848655511811	0.994370078740157	0.99511811023622	0.995192913385827	0.995157480314961	0.995279527559055	0.995169291338583	0.995342519685039	0.995299212598425	0.995129921259843	0.995133858267716	0.99511811023622	0.995122047244094
0.349475337837838	0.994468468468468	0.994459459459459	0.994454954954955	0.994599099099099	0.994864864864865	0.99481981981982	0.994810810810811	0.994657657657658	0.994603603603604	0.994684684684685	0.994761261261261	0.994725225225225
0.350485066390042	0.991327800829875	0.991099585062241	0.991477178423236	0.991390041493776	0.991473029045643	0.991352697095436	0.991286307053942	0.991265560165975	0.991199170124481	0.991095435684647	0.991095435684647	0.991095435684647
0.351516449152542	0.990508474576271	0.990800847457627	0.990919491525424	0.991008474576271	0.99125	0.991042372881356	0.990940677966102	0.990877118644068	0.990919491525424	0.990987288135593	0.990966101694915	0.991063559322034
0.352529887372014	0.990129692832765	0.990255972696246	0.99042662116041	0.99042662116041	0.990627986348123	0.990443686006826	0.990273037542662	0.990228668941979	0.990088737201365	0.990061433447099	0.990068259385666	0.990068259385666
0.353488164948454	0.994931271477663	0.994096219931272	0.994381443298969	0.994419243986254	0.994601374570447	0.994367697594502	0.994	0.99392439862543	0.993893470790378	0.993996563573883	0.993979381443299	0.993945017182131
0.354499829694323	0.994947598253275	0.994393013100437	0.994550218340611	0.994397379912664	0.994672489082969	0.994576419213974	0.994528384279476	0.994414847161572	0.994375545851528	0.994353711790393	0.994353711790393	0.994323144104803
0.355496363636364	0.996181818181818	0.995580808080808	0.995787878787879	0.995353535353535	0.995388888888889	0.995025252525253	0.994823232323232	0.994681818181818	0.994686868686869	0.994621212121212	0.994722222222222	0.994661616161616
0.356520057894737	0.995957894736842	0.995152631578947	0.995126315789474	0.995331578947368	0.995426315789474	0.995257894736842	0.995178947368421	0.995015789473684	0.995005263157895	0.995052631578947	0.995005263157895	0.995068421052632
0.357526776190476	0.996614285714286	0.995785714285714	0.9959	0.995671428571429	0.995671428571429	0.995609523809524	0.995366666666667	0.995395238095238	0.995280952380952	0.995214285714286	0.995266666666667	0.995323809523809
0.358536423664122	0.995667938931298	0.995309160305344	0.995312977099237	0.995442748091603	0.995511450381679	0.995167938931298	0.994923664122137	0.994881679389313	0.994866412213741	0.994931297709924	0.99487786259542	0.994935114503817
0.359474497674419	0.995172093023256	0.994902325581395	0.994837209302326	0.994841860465116	0.994953488372093	0.994706976744186	0.994962790697674	0.994879069767442	0.994883720930233	0.994906976744186	0.994832558139535	0.994846511627907
0.360556898678414	0.994916299559471	0.994400881057269	0.994303964757709	0.994356828193833	0.994237885462555	0.994057268722467	0.993766519823788	0.993722466960352	0.993696035242291	0.99379295154185	0.993757709251101	0.993863436123348
0.361493919282511	0.995139013452915	0.995322869955157	0.995130044843049	0.995224215246637	0.995421524663677	0.995538116591928	0.995807174887892	0.995807174887892	0.995807174887892	0.995789237668161	0.995829596412556	0.995829596412556
0.362518856481481	0.996171296296296	0.99625	0.995953703703704	0.996138888888889	0.996268518518518	0.996203703703704	0.996356481481481	0.996212962962963	0.996166666666667	0.996162037037037	0.996152777777778	0.996189814814815
0.363501286245353	0.991806691449814	0.99142750929368	0.991587360594796	0.991973977695167	0.991992565055762	0.991561338289963	0.991672862453532	0.991579925650558	0.991486988847584	0.991579925650558	0.991565055762082	0.991520446096654
0.364459790178571	0.994553571428571	0.9939375	0.993803571428571	0.994066964285714	0.994352678571429	0.993825892857143	0.993758928571429	0.993714285714286	0.99375	0.993741071428571	0.993794642857143	0.993785714285714
0.365517430493274	0.995434977578475	0.994883408071749	0.994551569506726	0.994565022421525	0.994313901345292	0.994560538116592	0.994677130044843	0.99467264573991	0.994596412556054	0.994600896860987	0.994636771300448	0.994609865470852
0.366505504545455	0.996222727272727	0.996245454545455	0.996377272727273	0.996486363636364	0.996509090909091	0.996409090909091	0.996377272727273	0.996277272727273	0.996254545454546	0.996213636363636	0.996195454545455	0.996263636363636
0.367507327731092	0.997058823529412	0.996655462184874	0.996588235294118	0.996483193277311	0.996504201680672	0.996142857142857	0.996084033613445	0.995941176470588	0.995785714285714	0.995806722689076	0.995789915966387	0.995747899159664
